iter	TotalF1	MultiClass
0	0.8729127753	0.8565381494
1	0.9038670158	0.6927615282
2	0.913855933	0.593494126
3	0.9280130298	0.5049653802
4	0.9286039506	0.4474478141
5	0.9325079256	0.3990612811
6	0.9341748494	0.3611485858
7	0.933551631	0.3333953826
8	0.9333411244	0.3117520023
9	0.9358240388	0.2905047603
10	0.9351362317	0.2746372174
11	0.9360727179	0.2611775834
12	0.9369775003	0.2526717213
13	0.936330845	0.2462097766
14	0.937502932	0.2377290301
15	0.9377372062	0.2327778489
16	0.9379481033	0.2279903455
17	0.9384172062	0.2232386464
18	0.9391301478	0.219788595
19	0.9394752863	0.2164077304
20	0.939600355	0.2150824195
21	0.9400513947	0.2127996426
22	0.9401380002	0.2104557643
23	0.9403185001	0.2091711947
24	0.9402464645	0.2081622007
25	0.9402367765	0.2075978261
26	0.9403960201	0.2062462737
27	0.9404189277	0.2050726882
28	0.9404608278	0.2043231427
29	0.9409030732	0.2021288513
30	0.9411616092	0.2009682086
31	0.9411728385	0.2007851854
32	0.9414059844	0.1998158856
33	0.9416555651	0.1979131156
34	0.9417364936	0.1971169693
35	0.9419328357	0.1957386387
36	0.9422425449	0.1942307968
37	0.9422185486	0.1937787953
38	0.9422427762	0.1935881727
39	0.9422992795	0.1931672979
40	0.9424389102	0.1925093727
41	0.942444917	0.192422377
42	0.9425735381	0.1919695463
43	0.9425528725	0.191599674
44	0.942665018	0.191219571
45	0.9427688479	0.1902335067
46	0.9428918359	0.1899202522
47	0.9429445738	0.1896870343
48	0.9430291189	0.1894569751
49	0.9430993277	0.1889892991
50	0.9431170208	0.1888399412
51	0.9431116758	0.1884488575
52	0.943224252	0.1880304003
53	0.9433024084	0.1877522996
54	0.9434203369	0.187521026
55	0.9434354283	0.1872087966
56	0.9434447255	0.1869295204
57	0.9435078641	0.1863574572
58	0.9435241261	0.1861055668
59	0.9435824956	0.185938537
60	0.9438430207	0.1848607453
61	0.943919979	0.1846545439
62	0.9440291799	0.1839509534
63	0.9440542635	0.1837252508
64	0.9441072922	0.1835039278
65	0.9441160237	0.1833091168
66	0.9441907112	0.1831684211
67	0.9442340479	0.1823382521
68	0.9442448948	0.1822403139
69	0.9442984906	0.1817259656
70	0.9443505529	0.181234483
71	0.9444796468	0.1807822873
72	0.9445092229	0.1806718474
73	0.9445887965	0.1803538119
74	0.9447044021	0.1795638766
75	0.944767534	0.1794451144
76	0.9449254004	0.1786174075
77	0.9450000046	0.1779957051
78	0.9451829535	0.177302258
79	0.9451814327	0.1770001526
80	0.9452641925	0.1768361352
81	0.9452527027	0.1765010409
82	0.9454996841	0.1760256409
83	0.9455242693	0.1758103918
84	0.9457074676	0.1753738088
85	0.9458389982	0.1748627951
86	0.9458601242	0.1746593548
87	0.945993118	0.1741888463
88	0.9461878123	0.1735133534
89	0.9463062104	0.1730658711
90	0.9463436065	0.1728349625
91	0.9463903153	0.1725017224
92	0.9465314694	0.1721683829
93	0.9464942088	0.1718560628
94	0.9465745177	0.171612121
95	0.9465087038	0.1712988241
96	0.9466464584	0.1709810918
97	0.9466791781	0.1706480663
98	0.9467138943	0.1704816788
99	0.9467363612	0.1703277434
100	0.9467984977	0.1701681086
101	0.9468939359	0.1699152819
102	0.9468536921	0.1697448963
103	0.9468933853	0.1695673445
104	0.946946886	0.169445162
105	0.9469916869	0.169234427
106	0.9470258146	0.1689517226
107	0.9470031969	0.1687023804
108	0.9470992193	0.1684743658
109	0.9471125389	0.168342925
110	0.9472502652	0.1680863158
111	0.9472493895	0.1680022731
112	0.9472691532	0.1678788311
113	0.9473236909	0.1677315341
114	0.947337705	0.1676067076
115	0.9473774634	0.1673767643
116	0.9474130148	0.1672517909
117	0.9474498628	0.1671206475
118	0.9474929287	0.1669684283
119	0.9475212968	0.1668665716
120	0.9474985046	0.1665826295
121	0.9475487673	0.16641344
122	0.9475032365	0.1661917086
123	0.9476104042	0.1659644022
124	0.9476268698	0.1657134954
125	0.9476822401	0.1655350361
126	0.9476728601	0.1654070613
127	0.9477762864	0.1651806669
128	0.9477954016	0.1651027858
129	0.9478144597	0.1650137189
130	0.9478360194	0.1648373935
131	0.9478043711	0.1646533293
132	0.9478399645	0.1644781833
133	0.947857397	0.164337119
134	0.9478703613	0.164234868
135	0.9478891171	0.1640485921
136	0.9479011372	0.1639523979
137	0.9479333074	0.1637529666
138	0.9479709549	0.1635091288
139	0.9479965253	0.1633575642
140	0.9480408703	0.1631940874
