iter	Passed	Remaining
0	231	93870
1	461	93265
2	685	92127
3	898	90251
4	1057	84792
5	1282	85504
6	1506	85842
7	1748	86981
8	1972	86992
9	2208	87459
10	2449	87954
11	2685	88164
12	2909	87949
13	3141	87960
14	3367	87778
15	3645	88854
16	3883	88867
17	4113	88674
18	4350	88620
19	4581	88431
20	4809	88172
21	5035	87888
22	5267	87717
23	5493	87431
24	5729	87323
25	5871	85819
26	6109	85765
27	6348	85704
28	6579	85533
29	6810	85360
30	7047	85254
31	7279	85082
32	7502	84796
33	7732	84600
34	7968	84465
35	8199	84272
36	8433	84106
37	8658	83846
38	8887	83632
39	9110	83357
40	9359	83324
41	9579	83025
42	9825	82943
43	10045	82648
44	10248	82219
45	10453	81806
46	10646	81324
47	10851	80937
48	11068	80639
49	11280	80314
50	11473	79866
51	11689	79579
52	11906	79299
53	12117	78990
54	12318	78615
55	12520	78254
56	12730	77945
57	12933	77601
58	13151	77348
59	13359	77038
60	13564	76719
61	13772	76417
62	13994	76190
63	14207	75921
64	14427	75689
65	14650	75474
66	14872	75252
67	15101	75064
68	15322	74837
69	15535	74570
70	15759	74358
71	15990	74176
72	16203	73912
73	16417	73657
74	16648	73476
75	16874	73269
76	17088	73014
77	17305	72773
78	17500	72440
79	17705	72148
80	17918	71893
81	18128	71630
82	18339	71369
83	18540	71073
84	18739	70769
85	18940	70477
86	19139	70176
87	19353	69935
88	19565	69687
89	19761	69385
90	19952	69067
91	20143	68750
92	20337	68446
93	20522	68117
94	20709	67797
95	20904	67503
96	21094	67196
97	21294	66925
98	21494	66656
99	21688	66365
100	21941	66259
101	22134	65969
102	22329	65686
103	22520	65397
104	22709	65101
105	22904	64824
106	23095	64536
107	23292	64270
108	23491	64007
109	23692	63754
110	23890	63492
111	24079	63209
112	24268	62927
113	24462	62658
114	24662	62406
115	24889	62222
116	25091	61978
117	25307	61767
118	25498	61496
119	25706	61266
120	25934	61086
121	26145	60862
122	26377	60689
123	26596	60486
124	26803	60254
125	27010	60022
126	27201	59756
127	27400	59511
128	27594	59253
129	27800	59023
130	27989	58755
131	28182	58500
132	28373	58241
133	28587	58028
134	28782	57777
135	28970	57515
136	29162	57260
137	29354	57006
138	29552	56766
139	29745	56517
140	29944	56279
141	30135	56026
142	30330	55782
143	30537	55562
144	30738	55330
145	30943	55104
146	31144	54874
147	31354	54658
148	31558	54433
149	31759	54203
150	31964	53979
151	32159	53740
152	32368	53524
153	32589	53328
154	32797	53111
155	33000	52884
156	33195	52647
157	33388	52406
158	33588	52177
159	33795	51961
160	33990	51724
161	34198	51508
162	34398	51281
163	34593	51046
164	34793	50820
165	34999	50601
166	35201	50378
167	35400	50151
168	35598	49921
169	35786	49680
170	35986	49455
171	36180	49221
172	36373	48988
173	36566	48755
174	36750	48511
175	36956	48295
176	37146	48059
177	37335	47823
178	37522	47583
179	37718	47357
180	37904	47119
181	38098	46890
182	38301	46673
183	38491	46441
184	38685	46212
185	38878	45985
186	39074	45760
187	39256	45520
188	39443	45286
189	39626	45049
190	39822	44825
191	40011	44596
192	40193	44358
193	40393	44141
194	40582	43912
195	40769	43681
196	40956	43451
197	41202	43282
198	41396	43060
199	41586	42834
200	41775	42606
201	41967	42382
202	42158	42158
203	42345	41930
204	42541	41711
205	42735	41490
206	42938	41278
207	43125	41051
208	43315	40828
209	43498	40599
210	43697	40383
211	43891	40164
212	44079	39940
213	44264	39713
214	44458	39495
215	44654	39279
216	44837	39051
217	45030	38833
218	45219	38612
219	45408	38391
220	45599	38171
221	45782	37945
222	45971	37725
223	46160	37505
224	46357	37291
225	46545	37071
226	46745	36860
227	46936	36643
228	47121	36421
229	47313	36205
230	47498	35983
231	47689	35767
232	47875	35547
233	48067	35331
234	48254	35112
235	48443	34895
236	48637	34682
237	48833	34471
238	49021	34253
239	49217	34042
240	49409	33828
241	49593	33609
242	49786	33395
243	49986	33187
244	50173	32971
245	50364	32757
246	50557	32544
247	50752	32334
248	50955	32128
249	51142	31912
250	51332	31699
251	51522	31486
252	51713	31273
253	51908	31063
254	52099	30851
255	52314	30652
256	52526	30453
257	52741	30254
258	52933	30043
259	53131	29835
260	53331	29628
261	53513	29411
262	53700	29198
263	53901	28992
264	54095	28783
265	54297	28577
266	54488	28366
267	54676	28154
268	54871	27945
269	55064	27736
270	55252	27524
271	55449	27317
272	55637	27105
273	55823	26892
274	56017	26684
275	56205	26473
276	56404	26267
277	56661	26088
278	56893	25897
279	57177	25729
280	57421	25543
281	57636	25343
282	57842	25140
283	58082	24950
284	58302	24753
285	58549	24566
286	58780	24372
287	59012	24178
288	59247	23986
289	59465	23786
290	59670	23581
291	59897	23384
292	60141	23194
293	60394	23007
294	60642	22817
295	60892	22628
296	61123	22432
297	61369	22241
298	61636	22057
299	61897	21870
300	62140	21676
301	62386	21484
302	62615	21285
303	62855	21089
304	63112	20899
305	63397	20718
306	63650	20525
307	63891	20329
308	64130	20131
309	64349	19927
310	64571	19724
311	64784	19518
312	64999	19313
313	65209	19105
314	65452	18908
315	65660	18700
316	65860	18490
317	66073	18284
318	66292	18079
319	66518	17876
320	66752	17675
321	66975	17471
